family,description,spec_json,complexity,positive_development_folds,robust_score,train_trades,train_wins,train_losses,train_win_rate,train_net_pnl,train_average_pnl,train_ci_lower,train_ci_upper,validation_trades,validation_wins,validation_losses,validation_win_rate,validation_net_pnl,validation_average_pnl,validation_ci_lower,validation_ci_upper,full_trades,full_wins,full_losses,full_win_rate,full_net_pnl,full_average_pnl,full_ci_lower,full_ci_upper
three_bins_2_5,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,"{""boundaries"":[2,5],""kind"":""categorical_suffix"",""pattern"":[2,2,0,0,1]}",5,5,2.0581165737058087,208,143,65,0.6875,5.8500000000000085,0.028125000000000042,0.621590247652843,0.7466096336839845,110,79,31,0.7181818181818181,4.950000000000006,0.04500000000000006,0.6278504468827403,0.79378856316897,419,286,133,0.6825775656324582,10.65000000000002,0.025417661097852075,0.6365214840255716,0.725316261087496
binary_le_2,"last 7 digits match LLHHHLH, where L <= 2","{""kind"":""binary_suffix"",""pattern"":[1,1,0,0,0,1,0],""threshold"":2}",7,5,1.2316963546722257,294,196,98,0.6666666666666666,4.900000000000013,0.01666666666666671,0.6109375059162319,0.7180966063528653,158,105,53,0.6645569620253164,2.45000000000001,0.015506329113924114,0.5878053528461551,0.733496743532075,611,403,208,0.6595744680851063,7.800000000000026,0.012765957446808553,0.6211092240874865,0.6960457061835181
binary_le_1,"last 7 digits match LLHHHHL, where L <= 1","{""kind"":""binary_suffix"",""pattern"":[1,1,0,0,0,0,1],""threshold"":1}",7,4,1.0572210286372719,155,103,52,0.6645161290322581,2.4000000000000092,0.015483870967741994,0.5870028931379894,0.7340719721940561,94,63,31,0.6702127659574468,1.7500000000000053,0.018617021276595803,0.570134654466759,0.7569250642425024,330,209,121,0.6333333333333333,-0.549999999999983,-0.001666666666666615,0.5800835506076417,0.6835146265356732
binary_le_1,"last 8 digits match LHHLHHHH, where L <= 1","{""kind"":""binary_suffix"",""pattern"":[1,0,0,1,0,0,0,0],""threshold"":1}",8,5,1.0456524432610284,519,343,176,0.6608863198458574,7.000000000000028,0.013487475915221635,0.6191082382905772,0.7003002500429233,268,175,93,0.6529850746268657,2.450000000000017,0.009141791044776183,0.5941950171925162,0.7074513922835565,1075,690,385,0.641860465116279,3.250000000000057,0.003023255813953541,0.6127410206760667,0.6699696570665205
three_bins_3_6,last 5 digits have bin pattern 12001 for bins 0-3/4-6/7-9,"{""boundaries"":[3,6],""kind"":""categorical_suffix"",""pattern"":[1,2,0,0,1]}",5,5,0.9953558734673567,221,144,77,0.6515837104072398,1.850000000000012,0.008371040723981956,0.5866606766332827,0.7113270714956377,110,75,35,0.6818181818181818,2.7500000000000053,0.02500000000000005,0.589903417135744,0.7614624245740145,437,284,153,0.6498855835240275,3.2500000000000213,0.007437070938215152,0.6040326346399829,0.6931263493413362
three_bins_3_6,last 6 digits have bin pattern 200000 for bins 0-3/4-6/7-9,"{""boundaries"":[3,6],""kind"":""categorical_suffix"",""pattern"":[2,0,0,0,0,0]}",6,4,0.9917830648521623,150,99,51,0.66,1.95000000000001,0.013000000000000067,0.5810428721065096,0.730966649695706,77,53,24,0.6883116883116883,2.2000000000000046,0.028571428571428633,0.5779996467585954,0.7807271800830852,304,193,111,0.6348684210526315,-0.24999999999997868,-0.0008223684210525615,0.579375362182432,0.686995516886725
binary_le_4,"last 8 digits match LLHLHHLH, where L <= 4","{""kind"":""binary_suffix"",""pattern"":[1,1,0,1,0,0,1,0],""threshold"":4}",8,4,0.9170860145311585,203,133,70,0.6551724137931034,2.1000000000000085,0.010344827586206938,0.5874513757799511,0.717129728797411,85,57,28,0.6705882352941176,1.600000000000005,0.018823529411764763,0.5652019122526615,0.7612222638578385,386,249,137,0.6450777202072538,1.8500000000000227,0.004792746113989696,0.596128476155521,0.6911678015128679
binary_le_3,"last 8 digits match LLLHHHHH, where L <= 3","{""kind"":""binary_suffix"",""pattern"":[1,1,1,0,0,0,0,0],""threshold"":3}",8,3,0.8762090102803535,228,151,77,0.6622807017543859,3.2500000000000107,0.014254385964912327,0.5986557043842923,0.7205279324700268,102,68,34,0.6666666666666666,1.7000000000000064,0.01666666666666673,0.5706063272058552,0.750628852078657,456,291,165,0.6381578947368421,0.45000000000002416,0.0009868421052632108,0.5930680406283207,0.6809394408265673
binary_le_4,"last 8 digits match HLLLHLLH, where L <= 4","{""kind"":""binary_suffix"",""pattern"":[0,1,1,1,0,1,1,0],""threshold"":4}",8,4,0.8652762628886891,202,132,70,0.6534653465346535,1.9000000000000092,0.009405940594059452,0.585530362604048,0.715672322001911,101,67,34,0.6633663366336634,1.5000000000000053,0.014851485148514905,0.5667267191475079,0.7480342577713511,411,273,138,0.6642335766423357,6.3000000000000185,0.015328467153284717,0.6172423282835997,0.7081831978530024
binary_le_4,"last 7 digits match HHHHLLH, where L <= 4","{""kind"":""binary_suffix"",""pattern"":[0,0,0,0,1,1,0],""threshold"":4}",7,4,0.8504573110502023,364,236,128,0.6483516483516484,2.40000000000002,0.006593406593406648,0.5979825582687763,0.6956221929364028,186,125,61,0.6720430107526881,3.6500000000000092,0.019623655913978546,0.6016890093194713,0.7354344009069966,755,489,266,0.6476821192052981,4.700000000000031,0.0062251655629139485,0.6129386629340713,0.6809303625492774
