family,description,spec_json,complexity,positive_development_folds,robust_score,train_trades,train_wins,train_losses,train_win_rate,train_net_pnl,train_average_pnl,train_ci_lower,train_ci_upper,validation_trades,validation_wins,validation_losses,validation_win_rate,validation_net_pnl,validation_average_pnl,validation_ci_lower,validation_ci_upper,full_trades,full_wins,full_losses,full_win_rate,full_net_pnl,full_average_pnl,full_ci_lower,full_ci_upper
three_bins_2_5,last 5 digits have bin pattern 22001 for bins 0-2/3-5/6-9,"{""boundaries"":[2,5],""kind"":""categorical_suffix"",""pattern"":[2,2,0,0,1]}",5,5,2.0581165737058087,208,143,65,0.6875,5.8500000000000085,0.028125000000000042,0.621590247652843,0.7466096336839845,110,79,31,0.7181818181818181,4.950000000000006,0.04500000000000006,0.6278504468827403,0.79378856316897,419,286,133,0.6825775656324582,10.65000000000002,0.025417661097852075,0.6365214840255716,0.725316261087496
parity,last digits have parity OOOEEEEO,"{""kind"":""parity_suffix"",""pattern"":[1,1,1,0,0,0,0,1]}",8,3,0.4120082403081181,204,131,73,0.6421568627450981,0.6500000000000128,0.0031862745098039844,0.5743063071814885,0.7047525501278076,101,71,30,0.7029702970297029,3.7000000000000046,0.03663366336633668,0.6077495802310494,0.7833170880620782,404,274,130,0.6782178217821783,9.300000000000018,0.023019801980198065,0.6311695347687694,0.7219088413639254
binary_le_3,"last 7 digits match LLLHHLL, where L <= 3","{""kind"":""binary_suffix"",""pattern"":[1,1,1,0,0,1,1],""threshold"":3}",7,3,0.6723919355648439,188,124,64,0.6595744680851063,2.4000000000000092,0.01276595744680856,0.5892497852065646,0.7235084703281756,82,54,28,0.6585365853658537,1.0000000000000053,0.012195121951219577,0.5508773979511824,0.7520065506348835,367,249,118,0.6784741144414169,8.500000000000021,0.02316076294277935,0.6290527572468944,0.7241979294929072
binary_le_2,"last 7 digits match LLHHHLH, where L <= 2","{""kind"":""binary_suffix"",""pattern"":[1,1,0,0,0,1,0],""threshold"":2}",7,5,1.2316963546722257,294,196,98,0.6666666666666666,4.900000000000013,0.01666666666666671,0.6109375059162319,0.7180966063528653,158,105,53,0.6645569620253164,2.45000000000001,0.015506329113924114,0.5878053528461551,0.733496743532075,611,403,208,0.6595744680851063,7.800000000000026,0.012765957446808553,0.6211092240874865,0.6960457061835181
binary_le_4,"last 8 digits match HLHLHHHL, where L <= 4","{""kind"":""binary_suffix"",""pattern"":[0,1,0,1,0,0,0,1],""threshold"":4}",8,4,0.6883793359329619,207,134,73,0.6473429951690821,1.2500000000000107,0.00603864734299522,0.580109461583598,0.7092074514238964,107,71,36,0.6635514018691588,1.600000000000005,0.014953271028037429,0.5697390194208205,0.7460273045917383,393,263,130,0.6692111959287532,7.100000000000016,0.01806615776081429,0.6212532458762902,0.7138931886601622
binary_le_3,"last 8 digits match LHHLHHHL, where L <= 3","{""kind"":""binary_suffix"",""pattern"":[1,0,0,1,0,0,0,1],""threshold"":3}",8,2,-0.8156831825509353,248,166,82,0.6693548387096774,4.500000000000011,0.018145161290322624,0.6086118309604335,0.7249313449461444,142,85,57,0.5985915492957746,-2.949999999999992,-0.020774647887323888,0.5163975235017725,0.6755917793097469,488,323,165,0.6618852459016393,6.85000000000003,0.0140368852459017,0.6187937931230512,0.7024479346053154
binary_le_4,"last 8 digits match HLLLHLLH, where L <= 4","{""kind"":""binary_suffix"",""pattern"":[0,1,1,1,0,1,1,0],""threshold"":4}",8,4,0.8652762628886891,202,132,70,0.6534653465346535,1.9000000000000092,0.009405940594059452,0.585530362604048,0.715672322001911,101,67,34,0.6633663366336634,1.5000000000000053,0.014851485148514905,0.5667267191475079,0.7480342577713511,411,273,138,0.6642335766423357,6.3000000000000185,0.015328467153284717,0.6172423282835997,0.7081831978530024
three_bins_4_7,last 6 digits have bin pattern 002001 for bins 0-4/5-7/8-9,"{""boundaries"":[4,7],""kind"":""categorical_suffix"",""pattern"":[0,0,2,0,0,1]}",6,3,0.22612834645694416,167,106,61,0.6347305389221557,-0.14999999999999147,-0.0008982035928143202,0.5594349254127946,0.7039671803209755,92,65,27,0.7065217391304348,3.5500000000000043,0.03858695652173918,0.6067052889274724,0.7897828328893362,358,239,119,0.6675977653631285,6.15000000000002,0.017178770949720725,0.61724827268208,0.714388683434285
binary_le_7,"last 7 digits match LHLLHHL, where L <= 7","{""kind"":""binary_suffix"",""pattern"":[1,0,1,1,0,0,1],""threshold"":7}",7,3,-0.8147789498629384,160,115,45,0.71875,7.250000000000009,0.045312500000000054,0.6445855244726805,0.7826567651397861,91,53,38,0.5824175824175825,-2.6999999999999957,-0.029670329670329624,0.4797716618786715,0.6783870187923923,351,234,117,0.6666666666666666,5.850000000000023,0.016666666666666732,0.6157808047336406,0.7139439134231562
three_bins_2_5,last 5 digits have bin pattern 12102 for bins 0-2/3-5/6-9,"{""boundaries"":[2,5],""kind"":""categorical_suffix"",""pattern"":[1,2,1,0,2]}",5,3,-1.1024436925511576,215,152,63,0.7069767441860465,8.350000000000012,0.038837209302325634,0.642931485113039,0.7637556228947786,110,63,47,0.5727272727272728,-3.8499999999999943,-0.03499999999999995,0.479369229296701,0.6611771073872025,419,277,142,0.6610978520286396,5.700000000000024,0.013603818615751847,0.614494696108919,0.7047739025202582
