block,start_eat,end_eat,trades,wins,losses,win_rate_pct,net_pnl,cumulative_pnl
1,2026-07-01T11:12:45+03:00,2026-07-01T11:29:24+03:00,3,2,1,66.66666666666666,0.050000000000000155,0.050000000000000155
2,2026-07-01T11:29:25+03:00,2026-07-01T11:46:04+03:00,7,6,1,85.71428571428571,0.8500000000000004,0.9000000000000006
3,2026-07-01T11:46:05+03:00,2026-07-01T12:02:44+03:00,2,1,1,50.0,-0.1499999999999999,0.7500000000000007
4,2026-07-01T12:02:45+03:00,2026-07-01T12:19:24+03:00,2,2,0,100.0,0.40000000000000013,1.1500000000000008
5,2026-07-01T12:19:25+03:00,2026-07-01T12:36:04+03:00,5,3,2,60.0,-0.09999999999999976,1.0500000000000012
6,2026-07-01T12:36:05+03:00,2026-07-01T12:52:44+03:00,5,4,1,80.0,0.4500000000000003,1.5000000000000013
7,2026-07-01T12:52:45+03:00,2026-07-01T13:09:24+03:00,2,1,1,50.0,-0.1499999999999999,1.3500000000000014
8,2026-07-01T13:09:25+03:00,2026-07-01T13:26:04+03:00,1,0,1,0.0,-0.35,1.0000000000000013
9,2026-07-01T13:26:05+03:00,2026-07-01T13:42:44+03:00,4,4,0,100.0,0.8000000000000003,1.8000000000000016
10,2026-07-01T13:42:45+03:00,2026-07-01T13:59:24+03:00,5,2,3,40.0,-0.6499999999999998,1.1500000000000017
11,2026-07-01T13:59:25+03:00,2026-07-01T14:16:04+03:00,1,0,1,0.0,-0.35,0.8000000000000017
12,2026-07-01T14:16:05+03:00,2026-07-01T14:32:44+03:00,3,2,1,66.66666666666666,0.050000000000000155,0.8500000000000019
13,2026-07-01T14:32:45+03:00,2026-07-01T14:49:24+03:00,6,4,2,66.66666666666666,0.10000000000000031,0.9500000000000022
14,2026-07-01T14:49:25+03:00,2026-07-01T15:06:04+03:00,2,1,1,50.0,-0.1499999999999999,0.8000000000000023
15,2026-07-01T15:06:05+03:00,2026-07-01T15:22:44+03:00,5,4,1,80.0,0.4500000000000003,1.2500000000000027
16,2026-07-01T15:22:45+03:00,2026-07-01T15:39:24+03:00,9,5,4,55.55555555555556,-0.3999999999999996,0.8500000000000031
17,2026-07-01T15:39:25+03:00,2026-07-01T15:56:04+03:00,4,2,2,50.0,-0.2999999999999998,0.5500000000000033
